wl,n
3.2154,0.020
3.2258,0.020
3.2362,0.020
3.2468,0.020
3.2573,0.021
3.2680,0.020
3.2787,0.020
3.2895,0.020
3.3003,0.020
3.3113,0.021
3.3223,0.021
3.3333,0.021
3.3445,0.020
3.3557,0.020
3.3670,0.021
3.3784,0.021
3.3898,0.021
3.4014,0.021
3.4130,0.021
3.4247,0.022
3.4364,0.023
3.4483,0.023
3.4602,0.022
3.4722,0.022
3.4843,0.022
3.4965,0.022
3.5088,0.022
3.5211,0.022
3.5336,0.021
3.5461,0.021
3.5587,0.021
3.5714,0.021
3.5842,0.021
3.5971,0.020
3.6101,0.020
3.6232,0.020
3.6364,0.020
3.6496,0.020
3.6630,0.019
3.6765,0.019
3.6900,0.019
3.7037,0.020
3.7175,0.020
3.7313,0.020
3.7453,0.019
3.7594,0.019
3.7736,0.021
3.7879,0.021
3.8023,0.020
3.8168,0.020
3.8314,0.020
3.8462,0.021
3.8610,0.021
3.8976,0.021
3.8911,0.021
3.9063,0.020
3.9216,0.020
3.9370,0.021
3.9526,0.021
3.9683,0.021
3.9841,0.020
4.0000,0.021
4.0161,0.022
4.0323,0.023
4.0486,0.023
4.0650,0.022
4.0816,0.022
4.0984,0.023
4.1152,0.024
4.1322,0.024
4.1494,0.023
4.1667,0.023
4.1841,0.024
4.2017,0.024
4.2194,0.024
4.2373,0.024
4.2553,0.023
4.2735,0.023
4.2918,0.024
4.3103,0.024
4.3290,0.023
4.3478,0.023
4.3668,0.023
4.3860,0.024
4.4053,0.025
4.4248,0.025
4.4444,0.025
4.4643,0.025
4.4843,0.026
4.5045,0.026
4.5249,0.026
4.5455,0.026
4.5662,0.026
4.5872,0.027
4.6083,0.028
4.6296,0.028
4.6512,0.028
4.6729,0.028
4.6948,0.029
4.7170,0.029
4.7393,0.030
4.7619,0.030
4.7847,0.029
4.8077,0.029
4.8309,0.030
4.8544,0.031
4.8780,0.031
4.9020,0.031
4.9261,0.031
4.9505,0.031
4.9751,0.031
5.0000,0.032
5.0251,0.032
5.0505,0.031
5.0761,0.031
5.1020,0.032
5.1282,0.032
5.1546,0.032
5.1813,0.031
5.2083,0.030
5.2356,0.031
5.2632,0.031
5.2910,0.031
5.3191,0.030
5.3476,0.030
5.3763,0.030
5.4054,0.031
5.4348,0.031
5.4645,0.031
5.4945,0.030
5.5249,0.030
5.5556,0.031
5.5866,0.032
5.6180,0.032
5.6497,0.031
5.6818,0.030
5.7143,0.031
5.7471,0.031
5.7803,0.032
5.8140,0.032
5.8480,0.032
5.8824,0.032
5.9172,0.033
5.9524,0.034
5.9880,0.034
6.0241,0.034
6.0606,0.034
6.0976,0.035
6.1350,0.036
6.1728,0.036
6.2112,0.036
6.2500,0.035
6.2893,0.036
6.3291,0.037
6.3694,0.038
6.4103,0.037
6.4516,0.037
6.4935,0.038
6.5359,0.039
6.5789,0.039
6.6225,0.039
6.6667,0.039
6.7114,0.039
6.7568,0.040
6.8027,0.041
6.8493,0.041
6.8966,0.041
6.9444,0.041
6.9930,0.042
7.0423,0.044
7.0922,0.045
7.1429,0.045
7.1942,0.044
7.2464,0.045
7.2993,0.046
7.3529,0.047
7.4074,0.047
7.4627,0.047
7.5188,0.047
7.5758,0.048
7.6336,0.048
7.6923,0.048
7.7519,0.047
7.8125,0.045
7.8740,0.044
7.9365,0.055
8.0000,0.056
8.0645,0.051
8.1301,0.054
8.1967,0.053
8.2645,0.057
8.3333,0.055
8.4034,0.053
8.4746,0.054
8.5470,0.058
8.6207,0.068
8.6957,0.067
8.7719,0.062
8.8496,0.061
8.9286,0.063
9.0090,0.074
9.0909,0.080
9.1743,0.073
9.2593,0.063
9.3458,0.064
9.4340,0.074
9.5238,0.089
9.6154,0.091
9.7087,0.088
9.8039,0.089
9.9010,0.088
10.0000,0.094
10.1010,0.097
10.2041,0.103
10.3093,0.108
10.4167,0.112
10.5263,0.120
10.6383,0.130
10.7527,0.139
10.8696,0.166
10.9890,0.239
11.1111,0.355
11.2360,0.484
11.3636,0.608
11.4943,0.719
11.6279,0.822
11.7647,0.915
11.9048,1.002
12.0482,1.088
12.1951,1.176
12.3457,1.266
12.5000,1.356
12.6582,1.439
12.8205,1.524
12.9870,1.618
13.1579,1.721
13.3333,1.833
13.5135,1.948
13.6986,2.064
13.8889,2.178
14.0845,2.311
14.2857,2.466
14.4928,2.645
14.7059,2.838
14.9254,3.049
15.1515,3.326
15.3846,3.683
15.6250,4.250
15.8730,3.460
16.1290,3.626
16.3934,4.260
16.6667,4.919
16.9492,5.835
17.2414,6.996
17.5439,8.491
17.8571,3.839
18.1818,1.299
18.5185,0.642
18.8679,0.420
19.2308,0.480
19.6078,0.662
20.0000,0.591
20.4082,0.573
20.8333,1.220
21.2766,2.824
21.7391,4.730
22.2222,7.373
22.7273,11.173
23.2558,1.231
23.8095,0.312
24.3902,0.108
25.0000,0.066
25.6410,0.606
26.3158,1.312
27.0270,0.108
27.7778,-0.069
28.5714,-0.089
29.4118,-0.043
30.3030,0.010
31.2500,0.046
32.2581,0.019
33.3333,0.013
34.4828,0.077
35.7143,0.077
37.0370,0.067
38.4615,0.048
40.0000,0.028
41.6667,0.013
43.4783,0.021
45.4545,0.028
47.6190,0.028
50.0000,0.018
52.6316,0.009
55.5556,0.011
