WL	n	k
0.000002650300	3.55120	8.70620
0.000002660700	3.53330	8.75570
0.000002671200	3.51580	8.80560
0.000002681700	3.49860	8.85590
0.000002692200	3.48170	8.90650
0.000002702700	3.46510	8.95760
0.000002713400	3.44890	9.00900
0.000002724000	3.43300	9.06080
0.000002734700	3.41740	9.11290
0.000002745400	3.40220	9.16540
0.000002756200	3.38720	9.21830
0.000002767000	3.37260	9.27150
0.000002777900	3.35840	9.32500
0.000002788800	3.34440	9.37880
0.000002799700	3.33080	9.43300
0.000002810700	3.31750	9.48750
0.000002821700	3.30450	9.54230
0.000002832800	3.29190	9.59740
0.000002843900	3.27960	9.65280
0.000002855100	3.26750	9.70850
0.000002866300	3.25580	9.76450
0.000002877500	3.24450	9.82080
0.000002888800	3.23340	9.87730
0.000002900100	3.22260	9.93420
0.000002911500	3.21220	9.99130
0.000002922900	3.20200	10.04900
0.000002934400	3.19220	10.10600
0.000002945900	3.18270	10.16400
0.000002957500	3.17350	10.22200
0.000002969100	3.16450	10.28100
0.000002980700	3.15590	10.33900
0.000002992400	3.14760	10.39800
0.000003004200	3.13960	10.45800
0.000003016000	3.13180	10.51700
0.000003027800	3.12440	10.57700
0.000003039700	3.11720	10.63600
0.000003051600	3.11030	10.69700
0.000003063600	3.10370	10.75700
0.000003075600	3.09740	10.81700
0.000003087700	3.09140	10.87800
0.000003099800	3.08570	10.93900
0.000003111900	3.08020	11.00000
0.000003124100	3.07500	11.06200
0.000003136400	3.07010	11.12300
0.000003148700	3.06540	11.18500
0.000003161100	3.06110	11.24700
0.000003173500	3.05700	11.31000
0.000003185900	3.05310	11.37200
0.000003198400	3.04950	11.43500
0.000003211000	3.04620	11.49800
0.000003223600	3.04320	11.56100
0.000003236200	3.04040	11.62400
0.000003248900	3.03780	11.68800
0.000003261700	3.03550	11.75100
0.000003274400	3.03350	11.81500
0.000003287300	3.03170	11.87900
0.000003300200	3.03020	11.94400
0.000003313100	3.02890	12.00800
0.000003326100	3.02780	12.07300
0.000003339200	3.02710	12.13800
0.000003352300	3.02650	12.20300
0.000003365400	3.02620	12.26800
0.000003378700	3.02610	12.33300
0.000003391900	3.02630	12.39900
0.000003405200	3.02670	12.46500
0.000003418600	3.02730	12.53100
0.000003432000	3.02820	12.59700
0.000003445500	3.02930	12.66300
0.000003459000	3.03070	12.73000
0.000003472500	3.03220	12.79700
0.000003486200	3.03400	12.86400
0.000003499900	3.03610	12.93100
0.000003513600	3.03830	12.99800
0.000003527400	3.04080	13.06600
0.000003541200	3.04350	13.13300
0.000003555100	3.04650	13.20100
0.000003569100	3.04960	13.26900
0.000003583100	3.05300	13.33700
0.000003597100	3.05660	13.40600
0.000003611200	3.06040	13.47500
0.000003625400	3.06440	13.54300
0.000003639600	3.06870	13.61200
0.000003653900	3.07310	13.68100
0.000003668200	3.07780	13.75100
0.000003682600	3.08270	13.82000
0.000003697100	3.08780	13.89000
0.000003711600	3.09310	13.96000
0.000003726200	3.09870	14.03000
0.000003740800	3.10440	14.10000
0.000003755400	3.11040	14.17100
0.000003770200	3.11650	14.24100
0.000003785000	3.12290	14.31200
0.000003799800	3.12950	14.38300
0.000003814700	3.13630	14.45400
0.000003829700	3.14330	14.52600
0.000003844700	3.15050	14.59700
0.000003859800	3.15790	14.66900
0.000003875000	3.16550	14.74100
0.000003890200	3.17340	14.81300
0.000003905400	3.18140	14.88500
0.000003920700	3.18960	14.95800
0.000003936100	3.19810	15.03000
0.000003951600	3.20670	15.10300
0.000003967100	3.21550	15.17600
0.000003982600	3.22460	15.24900
0.000003998300	3.23380	15.32300
0.000004014000	3.24330	15.39600
0.000004029700	3.25290	15.47000
0.000004045500	3.26280	15.54400
0.000004061400	3.27280	15.61800
0.000004077300	3.28310	15.69300
0.000004093300	3.29360	15.76700
0.000004109400	3.30420	15.84200
0.000004125500	3.31510	15.91700
0.000004141700	3.32610	15.99200
0.000004157900	3.33740	16.06700
0.000004174300	3.34880	16.14300
0.000004190600	3.36050	16.21900
0.000004207100	3.37240	16.29500
0.000004223600	3.38440	16.37100
0.000004240200	3.39670	16.44700
0.000004256800	3.40910	16.52300
0.000004273500	3.42180	16.60000
0.000004290300	3.43460	16.67700
0.000004307100	3.44770	16.75400
0.000004324000	3.46090	16.83100
0.000004341000	3.47440	16.90900
0.000004358000	3.48800	16.98600
0.000004375100	3.50190	17.06400
0.000004392300	3.51600	17.14200
0.000004409500	3.53020	17.22100
0.000004426800	3.54470	17.29900
0.000004444200	3.55930	17.37800
0.000004461600	3.57420	17.45600
0.000004479100	3.58920	17.53600
0.000004496700	3.60450	17.61500
0.000004514300	3.61990	17.69400
0.000004532000	3.63560	17.77400
0.000004549800	3.65150	17.85400
0.000004567700	3.66750	17.93400
0.000004585600	3.68380	18.01400
0.000004603600	3.70020	18.09500
0.000004621700	3.71690	18.17500
0.000004639800	3.73380	18.25600
0.000004658000	3.75090	18.33700
0.000004676300	3.76810	18.41900
0.000004694600	3.78560	18.50000
0.000004713000	3.80330	18.58200
0.000004731500	3.82120	18.66400
0.000004750100	3.83930	18.74600
0.000004768700	3.85760	18.82800
0.000004787400	3.87610	18.91100
0.000004806200	3.89480	18.99300
0.000004825100	3.91380	19.07600
0.000004844000	3.93290	19.16000
0.000004863000	3.95220	19.24300
0.000004882100	3.97180	19.32700
0.000004901300	3.99150	19.41000
0.000004920500	4.01150	19.49400
0.000004939800	4.03170	19.57900
0.000004959200	4.05210	19.66300
0.000004978600	4.07270	19.74800
0.000004998200	4.09350	19.83300
0.000005017800	4.11450	19.91800
0.000005037500	4.13570	20.00300
0.000005057200	4.15720	20.08900
0.000005077100	4.17880	20.17400
0.000005097000	4.20070	20.26000
0.000005117000	4.22280	20.34600
0.000005137100	4.24510	20.43300
0.000005157200	4.26760	20.51900
0.000005177500	4.29040	20.60600
0.000005197800	4.31330	20.69300
0.000005218200	4.33650	20.78000
0.000005238600	4.35990	20.86800
0.000005259200	4.38350	20.95600
0.000005279800	4.40730	21.04400
0.000005300500	4.43140	21.13200
0.000005321300	4.45560	21.22000
0.000005342200	4.48010	21.30900
0.000005363200	4.50490	21.39700
0.000005384200	4.52980	21.48600
0.000005405400	4.55500	21.57600
0.000005426600	4.58040	21.66500
0.000005447900	4.60600	21.75500
0.000005469200	4.63180	21.84500
0.000005490700	4.65790	21.93500
0.000005512200	4.68420	22.02500
0.000005533900	4.71070	22.11600
0.000005555600	4.73750	22.20700
0.000005577400	4.76450	22.29800
0.000005599300	4.79170	22.38900
0.000005621200	4.81920	22.48000
0.000005643300	4.84690	22.57200
0.000005665400	4.87480	22.66400
0.000005687600	4.90290	22.75600
0.000005710000	4.93130	22.84800
0.000005732400	4.96000	22.94100
0.000005754900	4.98880	23.03400
0.000005777400	5.01790	23.12700
0.000005800100	5.04730	23.22000
0.000005822900	5.07690	23.31400
0.000005845700	5.10670	23.40700
0.000005868600	5.13680	23.50100
0.000005891700	5.16710	23.59600
0.000005914800	5.19760	23.69000
0.000005938000	5.22840	23.78500
0.000005961300	5.25950	23.88000
0.000005984700	5.29070	23.97500
0.000006008200	5.32230	24.07000
0.000006031700	5.35410	24.16600
0.000006055400	5.38610	24.26100
0.000006079200	5.41840	24.35700
0.000006103000	5.45090	24.45400
0.000006127000	5.48370	24.55000
0.000006151000	5.51680	24.64700
